Lon Lat H AAL
-75.7083 5.6161 1749 170.9
-75.6917 5.6161 1593 132.4
-75.675 5.6161 1243 94.1
-75.6584 5.6161 1225 57.6
-75.6417 5.6161 1377 25.4
-75.625 5.6161 1339 -1.4
-75.6083 5.6161 1151 -20.7
-75.5917 5.6161 935 -31.5
-75.575 5.6161 807 -32.6
-75.5583 5.6161 1105 -24.3
-75.5417 5.6161 1381 -8.1
-75.525 5.6161 1429 13.6
-75.5084 5.6161 1381 36.5
-75.4917 5.6161 1595 57.5
-75.475 5.6161 1943 72.8
-75.4583 5.6161 2067 81.5
-75.4417 5.6161 2173 84.3
-75.425 5.6161 2245 84
-75.4084 5.6161 2307 85.2
-75.3917 5.6161 2103 91.9
-75.375 5.6161 1563 107.5
-75.3583 5.6161 1917 133.1
-75.3417 5.6161 2187 165.9
-75.325 5.6161 2403 202
-75.3083 5.6161 2589 233.9
-75.2917 5.6161 2727 256
-75.275 5.6161 2889 262.5
-75.2584 5.6161 2559 251.2
-75.2417 5.6161 2121 223.2
-75.225 5.6161 1909 181.9
-75.2083 5.6161 1613 134.7
-75.1917 5.6161 1609 86.9
-75.175 5.6161 1691 45.6
-75.1584 5.6161 1369 13.8
-75.1417 5.6161 1193 -6.6
-75.125 5.6161 1167 -16.6
-75.1083 5.6161 889 -19.2
-75.0917 5.6161 693 -17.1
-75.075 5.6161 975 -13.3
-75.0583 5.6161 1171 -9.5
-75.0417 5.6161 919 -6.3
-75.025 5.6161 1313 -3.4
-75.0084 5.6161 1297 -0.2
-74.9917 5.6161 993 3.3
-74.975 5.6161 787 6.7
-74.9583 5.6161 791 8.9
-74.9417 5.6161 725 8.5
-74.925 5.6161 787 4.3
-74.9084 5.6161 683 -3.7
-74.8917 5.6161 569 -15.2
-74.875 5.6161 559 -27.9
-74.8583 5.6161 533 -40.1
-74.8417 5.6161 437 -49.4
-74.825 5.6161 335 -54.7
-74.8083 5.6161 273 -56.1
-74.7917 5.6161 209 -54.5
-74.775 5.6161 245 -52.3
-74.7584 5.6161 229 -51.2
-74.7417 5.6161 223 -52.8
-74.725 5.6161 205 -57.5
-74.7083 5.6161 207 -64.4
-74.6917 5.6161 201 -72.2
-74.675 5.6161 185 -78.5
-74.6584 5.6161 167 -82.2
-74.6417 5.6161 161 -82.9
-74.625 5.6161 163 -81
-75.9084 5.5995 1951 98.5
-75.8917 5.5995 1707 80.4
-75.875 5.5995 1545 85.5
-75.8583 5.5995 1641 110.7
-75.8417 5.5995 1661 148.1
-75.825 5.5995 1749 190.9
-75.8083 5.5995 1917 229.7
-75.7917 5.5995 2295 259.2
-75.775 5.5995 2613 274.8
-75.7584 5.5995 2783 275.5
-75.7417 5.5995 2821 262.9
-75.725 5.5995 2501 239
-75.7083 5.5995 1985 207.7
-75.6917 5.5995 1867 171.4
-75.675 5.5995 1461 133.5
-75.6584 5.5995 1627 95.4
-75.6417 5.5995 1821 60
-75.625 5.5995 1693 28.8
-75.6083 5.5995 1297 4.5
-75.5917 5.5995 987 -11
-75.575 5.5995 781 -15.9
-75.5583 5.5995 1093 -9.9
-75.5417 5.5995 1375 5.6
-75.525 5.5995 1179 28.3
-75.5084 5.5995 1333 53.6
