Lon Lat H AAL
-74.7083 5.7985 179 -38.6
-74.6917 5.7985 181 -43.9
-74.675 5.7985 173 -50.4
-74.6584 5.7985 163 -57.4
-74.6417 5.7985 151 -63
-74.625 5.7985 173 -66.5
-74.6083 5.7985 195 -67.3
-74.5917 5.7985 191 -65.9
-74.575 5.7985 193 -63.6
-74.5583 5.7985 213 -61.8
-74.5417 5.7985 193 -61.9
-74.525 5.7985 187 -64.5
-74.5084 5.7985 181 -69.5
-74.4917 5.7985 185 -76.1
-74.475 5.7985 215 -82.5
-74.4583 5.7985 215 -87.5
-74.4417 5.7985 273 -89.7
-74.425 5.7985 283 -88.6
-74.4084 5.7985 259 -84.3
-74.3917 5.7985 243 -77.3
-74.375 5.7985 267 -68.4
-74.3583 5.7985 333 -58.5
-74.3417 5.7985 519 -48.3
-74.325 5.7985 501 -38.3
-74.3083 5.7985 411 -29.2
-74.2917 5.7985 821 -21.3
-74.275 5.7985 1121 -15.7
-74.2584 5.7985 1051 -13.1
-74.2417 5.7985 1167 -14.5
-74.225 5.7985 843 -20.1
-74.2083 5.7985 793 -29.7
-74.1917 5.7985 603 -42.3
-74.175 5.7985 617 -55.6
-74.1584 5.7985 623 -67.5
-74.1417 5.7985 633 -75.5
-74.125 5.7985 755 -77.9
-74.1083 5.7985 757 -74.3
-74.0917 5.7985 537 -65
-74.075 5.7985 655 -52.2
-74.0583 5.7985 777 -37.8
-74.0417 5.7985 1273 -24.5
-74.025 5.7985 1277 -13.4
-74.0084 5.7985 1385 -5.1
-73.9917 5.7985 1555 1.2
-73.975 5.7985 1591 7.6
-73.9583 5.7985 1453 15.9
-73.9417 5.7985 2009 28.1
-73.925 5.7985 2111 44.9
-73.9084 5.7985 2037 65.5
-73.8917 5.7985 2151 88.5
-73.875 5.7985 2259 110.7
-73.8583 5.7985 2351 130
-73.8417 5.7985 2317 143.7
-73.825 5.7985 2089 151.2
-73.8083 5.7985 2123 152.8
-73.7917 5.7985 2187 150.2
-73.775 5.7985 2257 146.1
-73.7584 5.7985 2435 142.7
-73.7417 5.7985 2441 142
-73.725 5.7985 2319 144.9
-73.7083 5.7985 2201 150.7
-73.6917 5.7985 2237 158.3
-73.675 5.7985 2307 165.2
-73.6584 5.7985 2273 169.9
-73.6417 5.7985 2337 170.7
-73.625 5.7985 2355 167.3
-73.6083 5.7985 2127 160.6
-73.5917 5.7985 2009 152.1
-73.575 5.7985 1971 144.1
-73.5583 5.7985 2187 138.4
-73.5417 5.7985 2375 136.8
-73.525 5.7985 2519 140
-73.5084 5.7985 2667 147.9
-73.4917 5.7985 2671 159.8
-73.475 5.7985 2565 174.1
-73.4583 5.7985 2503 189.8
-73.4417 5.7985 2599 205.3
-73.425 5.7985 2345 220
-73.4084 5.7985 2379 233.4
-73.3917 5.7985 2751 245.5
-73.375 5.7985 3067 256.1
-73.3583 5.7985 3373 265.3
-73.3417 5.7985 2921 272.8
-73.325 5.7985 2965 278.1
-73.3083 5.7985 3055 280.7
-73.2917 5.7985 3053 280.2
-73.275 5.7985 3281 276.1
-73.2584 5.7985 3241 268.6
-73.2417 5.7985 3095 258.2
